Nombre,Habitantes,CodigoPostal,Provincia,Division,Pais
Alegría-Dulantzi,2955,01001,Araba,País Vasco,España
Amurrio,10364,01002,Araba,País Vasco,España
Aramaio,1354,01003,Araba,País Vasco,España
Artziniega,1868,01004,Araba,País Vasco,España
Armiñón,236,01006,Araba,País Vasco,España
Arratzua-Ubarrundia,1056,01008,Araba,País Vasco,España
Asparrena,1609,01009,Araba,País Vasco,España
Ayala,2921,01010,Araba,País Vasco,España
Baños de Ebro,286,01011,Araba,País Vasco,España
Barrundia,882,01013,Araba,País Vasco,España
Berantevilla,461,01014,Araba,País Vasco,España
Bernedo,541,01016,Araba,País Vasco,España
Campezo,1073,01017,Araba,País Vasco,España
Zigoitia,1845,01018,Araba,País Vasco,España
Kripan,174,01019,Araba,País Vasco,España
Kuartango,402,01020,Araba,País Vasco,España
Elburgo,642,01021,Araba,País Vasco,España
Elciego,971,01022,Araba,País Vasco,España
Elvillar,315,01023,Araba,País Vasco,España
Iruraiz-Gauna,559,01027,Araba,País Vasco,España
Labastida,1558,01028,Araba,País Vasco,España
Lagrán,177,01030,Araba,País Vasco,España
Laguardia,1459,01031,Araba,País Vasco,España
Lanciego,700,01032,Araba,País Vasco,España
Lapuebla de Labarca,895,01033,Araba,País Vasco,España
Leza,205,01034,Araba,País Vasco,España
Laudio,18077,01036,Araba,País Vasco,España
Arraia-Maeztu,812,01037,Araba,País Vasco,España
Moreda de Álava,218,01039,Araba,País Vasco,España
Navaridas,192,01041,Araba,País Vasco,España
Okondo,1184,01042,Araba,País Vasco,España
Oyón-Oion,3476,01043,Araba,País Vasco,España
Peñacerrada-Urizaharra,332,01044,Araba,País Vasco,España
Erriberagoitia,839,01046,Araba,País Vasco,España
Ribera Baja,1477,01047,Araba,País Vasco,España
Añana,141,01049,Araba,País Vasco,España
Agurain,5189,01051,Araba,País Vasco,España
Samaniego,292,01052,Araba,País Vasco,España
San Millán,701,01053,Araba,País Vasco,España
Urkabustaiz,1470,01054,Araba,País Vasco,España
Valdegovía,1064,01055,Araba,País Vasco,España
Harana,212,01056,Araba,País Vasco,España
Villabuena de Álava,276,01057,Araba,País Vasco,España
Legutio,2094,01058,Araba,País Vasco,España
Vitoria-Gasteiz,260699,01059,Araba,País Vasco,España
Yécora,278,01060,Araba,País Vasco,España
Zalduondo,195,01061,Araba,País Vasco,España
Zambrana,452,01062,Araba,País Vasco,España
Zuia,2350,01063,Araba,País Vasco,España
Iruña Oka,3704,01901,Araba,País Vasco,España
Lantarón,929,01902,Araba,País Vasco,España
Abengibre,753,02001,Albacete,Castilla-La Mancha,España
Alatoz,504,02002,Albacete,Castilla-La Mancha,España
Albacete,175400,02003,Albacete,Castilla-La Mancha,España
Albatana,644,02004,Albacete,Castilla-La Mancha,España
Alborea,672,02005,Albacete,Castilla-La Mancha,España
Alcadozo,635,02006,Albacete,Castilla-La Mancha,España
Alcalá del Júcar,1130,02007,Albacete,Castilla-La Mancha,España
Alcaraz,1283,02008,Albacete,Castilla-La Mancha,España
Almansa,24615,02009,Albacete,Castilla-La Mancha,España
Alpera,2278,02010,Albacete,Castilla-La Mancha,España
Ayna,577,02011,Albacete,Castilla-La Mancha,España
Balazote,2356,02012,Albacete,Castilla-La Mancha,España
Balsa de Ves,121,02013,Albacete,Castilla-La Mancha,España
El Ballestero,411,02014,Albacete,Castilla-La Mancha,España
Barrax,1838,02015,Albacete,Castilla-La Mancha,España
Bienservida,548,02016,Albacete,Castilla-La Mancha,España
Bogarra,727,02017,Albacete,Castilla-La Mancha,España
Bonete,950,02018,Albacete,Castilla-La Mancha,España
El Bonillo,2645,02019,Albacete,Castilla-La Mancha,España
Carcelén,483,02020,Albacete,Castilla-La Mancha,España
Casas de Juan Núñez,1409,02021,Albacete,Castilla-La Mancha,España
Casas de Lázaro,298,02022,Albacete,Castilla-La Mancha,España
Casas de Ves,519,02023,Albacete,Castilla-La Mancha,España
Casas-Ibáñez,4616,02024,Albacete,Castilla-La Mancha,España
Caudete,10439,02025,Albacete,Castilla-La Mancha,España
Cenizate,1163,02026,Albacete,Castilla-La Mancha,España
Corral-Rubio,303,02027,Albacete,Castilla-La Mancha,España
Cotillas,123,02028,Albacete,Castilla-La Mancha,España
Chinchilla de Monte-Aragón,4614,02029,Albacete,Castilla-La Mancha,España
Elche de la Sierra,3603,02030,Albacete,Castilla-La Mancha,España
Férez,604,02031,Albacete,Castilla-La Mancha,España
Fuensanta,282,02032,Albacete,Castilla-La Mancha,España
Fuente-Álamo,2422,02033,Albacete,Castilla-La Mancha,España
Fuentealbilla,1804,02034,Albacete,Castilla-La Mancha,España
La Gineta,2656,02035,Albacete,Castilla-La Mancha,España
Golosalvo,79,02036,Albacete,Castilla-La Mancha,España
Hellín,30836,02037,Albacete,Castilla-La Mancha,España
La Herrera,308,02038,Albacete,Castilla-La Mancha,España
Higueruela,1133,02039,Albacete,Castilla-La Mancha,España
Hoya-Gonzalo,582,02040,Albacete,Castilla-La Mancha,España
Jorquera,356,02041,Albacete,Castilla-La Mancha,España
Letur,911,02042,Albacete,Castilla-La Mancha,España
Lezuza,1281,02043,Albacete,Castilla-La Mancha,España
Liétor,1052,02044,Albacete,Castilla-La Mancha,España
Madrigueras,4670,02045,Albacete,Castilla-La Mancha,España
Mahora,1465,02046,Albacete,Castilla-La Mancha,España
Masegoso,117,02047,Albacete,Castilla-La Mancha,España
Minaya,1381,02048,Albacete,Castilla-La Mancha,España
Molinicos,754,02049,Albacete,Castilla-La Mancha,España
Montalvos,74,02050,Albacete,Castilla-La Mancha,España
Montealegre del Castillo,2051,02051,Albacete,Castilla-La Mancha,España
Motilleja,673,02052,Albacete,Castilla-La Mancha,España
Munera,3351,02053,Albacete,Castilla-La Mancha,España
Navas de Jorquera,521,02054,Albacete,Castilla-La Mancha,España
Nerpio,1136,02055,Albacete,Castilla-La Mancha,España
Ontur,1895,02056,Albacete,Castilla-La Mancha,España
Ossa de Montiel,2233,02057,Albacete,Castilla-La Mancha,España
Paterna del Madera,328,02058,Albacete,Castilla-La Mancha,España
Peñascosa,329,02059,Albacete,Castilla-La Mancha,España
Peñas de San Pedro,1488,02060,Albacete,Castilla-La Mancha,España
Pétrola,660,02061,Albacete,Castilla-La Mancha,España
Povedilla,374,02062,Albacete,Castilla-La Mancha,España
Pozohondo,1544,02063,Albacete,Castilla-La Mancha,España
Pozo-Lorente,398,02064,Albacete,Castilla-La Mancha,España
Pozuelo,455,02065,Albacete,Castilla-La Mancha,España
La Recueja,215,02066,Albacete,Castilla-La Mancha,España
Riópar,1344,02067,Albacete,Castilla-La Mancha,España
Robledo,382,02068,Albacete,Castilla-La Mancha,España
La Roda,15643,02069,Albacete,Castilla-La Mancha,España
