Nombre,Division,Pais
Sevilla,Andalucía,España
Granada,Andalucía,España
Almería,Andalucía,España
Córdoba,Andalucía,España
Jaén,Andalucía,España
Cádiz,Andalucía,España
Huelva,Andalucía,España
Málaga,Andalucía,España
Barcelona,Cataluña,España
Tarragona,Cataluña,España
Girona,Cataluña,España
Lleida,Cataluña,España
Madrid,Madrid,España
Valencia,Valencia,España
Castellón,Valencia,España
Alicante,Valencia,España
A Coruña,Galicia,España
Lugo,Galicia,España
Pontevedra,Galicia,España
Ourense,Galicia,España
Valladolid,Castilla y León,España
Burgos,Castilla y León,España
Soria,Castilla y León,España
Segovia,Castilla y León,España
Palencia,Castilla y León,España
Ávila,Castilla y León,España
Zamora,Castilla y León,España
Zaragoza,Aragón,España
Huesca,Aragón,España
Teruel,Aragón,España
Murcia,Murcia,España
Badajoz,Extremadura,España
Cáceres,Extremadura,España
Toledo,Castilla-La Mancha,España
Cuenca,Castilla-La Mancha,España
Guadalajara,Castilla-La Mancha,España
Ciudad Real,Castilla-La Mancha,España
Albacete,Castilla-La Mancha,España
Asturias,Asturias,España
Cantabria,Cantabria,España
Vizcaya,País Vasco,España
Guipúzcoa,País Vasco,España
Álava,País Vasco,España
Navarra,Navarra,España
La Rioja,La Rioja,España
Palma de Mallorca,Islas Baleares,España
Ibiza,Islas Baleares,España
Las Palmas,Islas Canarias,España
Santa Cruz de Tenerife,Islas Canarias,España
Lisboa,Lisboa,Portugal
Setúbal,Lisboa,Portugal
Oporto,Oporto,Portugal
Aveiro,Oporto,Portugal
París,Île-de-France,Francia
Marsella,Provenza-Alpes-Costa Azul,Francia
Niza,Provenza-Alpes-Costa Azul,Francia
